bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(-136.2,-121.2]",-128.9089007,bl,91.5,0.3,76.3,0.8,63.2,0.6,36.1,0.4,129,21,16,3.487726724,0.001111434,1.4,0,-1.5,0.1,13.4,0.2,15.7,0.7,15.8,0.6,35.5,0.2,78.6,6.9,0.291,0,0.219,0,0.752,0,84.7,4.7,35,0.2,713.7399902,0,3
"(28.81,43.81]",36.361614,2,95.3,0.1,73.8,0.6,58.1,0.6,31.8,0.3,114.1,11.3,16,5.15976727,0.019135312,1.7,0.1,-1.7,0.1,12.5,0.3,24.4,0.9,23.2,0.7,40.9,0.6,172.2,33.8,8,0,0,0,0,0,204.2,24.5,37.5,1.5,713.7399902,0,3
"(103.8,118.8]",110.7925515,4,98.4,0,77.1,0.5,71.9,0.7,39.8,0.3,88.1,2.7,14,5.314070106,0.007949437,1.7,0,-1.8,0.1,13.9,0.6,33.1,2.2,32.5,2,39.3,0.1,339.3,0.3,1,0,0,0,0,0,340.6,0.7,39.2,0.1,713.7399902,0,3
"(208.8,223.8]",216.4745307,6,98.4,0,75.5,0.5,71.3,0.5,40.4,0.3,136.3,17.1,16,5.928451348,0.020354388,1.8,0.1,-2.1,0.3,14,0.5,50.2,3.8,49.8,3.6,38.4,0.1,348.7,0.1,1,0,0,0,0,0,349.6,0.1,42.2,0.2,713.7399902,0,4
