bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(2023,2038]",2028.924286,bl,97.4,0,82,4.6,57.9,0.5,41.7,0.3,68.8,2.5,14,2.7,0,1.2,0.2,-1,0,11.9,0.8,13.3,0.8,13.3,0.8,31.4,0.2,105.1,0.8,0.372,0,0.271,0,0.728494624,0,107.6,0.7,30.5,0.2,732.5,0,3
"(2458,2473]",2465.48475,2,86.5,0,103.4,0.7,78.5,0.6,52.9,0.4,71.5,1.3,20,5.1,0,2.6,0,-2.5,0.1,14.4,0.1,39.5,1.2,35.7,1.1,37.1,0,48.1,0.4,4,0,1,0,0,0,57.1,1.1,33.5,0.5,732.5,0,4
"(2683,2698]",2690.744048,4,85.4,0.2,103.4,1.1,80.2,0.9,54.7,0.6,74.7,1.2,21,5.4,0,3,0.1,-2.7,0.1,18,0.4,54.2,0.7,49.1,0.6,38,0.1,48.1,0.6,6,0,2,0,0,0,54,0.7,35.8,0.4,732.5,0,5
"(2848,2863]",2855.435238,6,84.5,0,106.4,1,85.3,1,58.9,0.7,81.1,1,21,5.8,0,3.4,0,-3,0,21.3,0.4,71.8,1.2,65.4,1.1,41,0.4,46.4,0.4,8,0,3,0,0,0,54.8,0.8,37.1,0.7,732.5,0,5
