bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(7550,7565]",7557.370445,bl,98.4,0,102.6,0.9,49.8,0.5,41.2,0.5,64,1.4,15,3.4,NA,2.5,NA,-2.4,NA,6.6,NA,17.2,NA,16.9,NA,34.1,NA,100.4,NA,0.36,NA,0.27,NA,0.75,NA,101,NA,34.1,NA,730.2,NA,1
"(7760,7775]",7768.168111,2,87.5,0,102.6,1.1,61.7,0.4,50.1,0.4,69.8,0.7,15,4.7,0,2.4,0.1,-2.2,0,12.6,0.5,31.1,1,28,0.9,36.7,0.1,48.5,0.3,3,0,1,0,0,0,49,0.2,36.5,0.1,730.2,0,3
"(7940,7955]",7947.045653,4,86.5,0.1,104.5,1,69.3,0.5,53.3,0.5,73.2,0.9,16,5.2,0,2.7,0,-2.6,0.1,16.6,0.4,47.4,2.8,42.9,2.6,38.5,0.1,47.8,0.4,5,0,2,0,0,0,48.6,0.5,38.3,0.1,730.2,0,4
"(8135,8150]",8142.396556,6,86.1,0.1,108.6,1,73.8,0.7,61.2,0.7,71.9,1.1,18,5.7,0,3.3,0.2,-3,0.2,16.7,0.7,55,1.5,50.1,1.4,41.1,0,48.5,0.1,6,0,2,0,0,0,49.8,0.3,40.7,0.1,730.2,0,5
