bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,Systolic_mean,Systolic_sem,Diastolic_mean,Diastolic_sem,nBeats,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,nBreaths
"(9604,9664]",9634.257185,pre-IHT,94.73511905,0.15113203,94.9332009,0.524532242,55.67227215,0.881137375,32.1719258,0.589259686,110.590549,7.159635893,131.7756633,0.893110345,74.75208178,0.50797632,68,-0.182641417,0.180501848,-0.823903728,0.052954472,14.17319956,1.518553125,12.67125628,1.259876546,12.58544774,1.250402641,39.54682655,0.346482769,87.16950989,1.20162248,0.254035267,0.023556874,0.187503595,0.017775617,0.738744199,0.011582456,91.52780533,2.282234922,37.92326355,0.795085195,10
"(9664,9724]",9693.931198,pre-IHT,95.57711694,0.102001465,96.05511426,0.537555409,51.71453611,0.919310717,31.07655451,0.595284033,135.0790555,8.628449631,138.6380645,0.642162295,74.75008637,0.524177941,62,-0.137959209,0.123686178,-0.891481867,0.161986173,12.72555087,1.62289347,11.00180102,1.889330595,10.92087774,1.874847528,38.35738269,0.579963166,92.69747231,1.84586422,0.209707893,0.037192959,0.149207189,0.027143765,0.709072671,0.005385915,95.61690174,2.054070299,36.83907353,1.016727533,11
"(1.002e+04,1.008e+04]",10052.08531,IHT,95.64967105,0.132708769,95.72186895,0.624524207,49.17390469,1.199424334,33.01228212,0.640895108,173.8686736,9.331438645,138.7110791,1.211916512,73.89842497,0.66462229,12,-0.33700292,0.034220065,-0.895632778,0.120694015,14.63977979,1.40180481,13.11405461,1.16156964,12.81843322,1.114398266,37.63682774,0.521979514,60.34947291,10.62918608,0.322382727,0.095137183,0.141850726,0.017299964,0.413972491,0.155259573,83.15380315,2.505600281,37.09025247,0.497685457,6
"(1.008e+04,1.014e+04]",10114.80044,IHT,94.48511905,0.183875209,94.13424816,0.640639172,49.38232349,0.976030595,33.31264378,0.459632511,134.3800023,8.085440769,130.913619,1.032764288,73.63320052,0.652874039,63,-0.055557733,0.162235012,-0.90631026,0.04192837,16.37458777,1.084200418,16.59962388,1.38664532,16.0665491,1.349424481,35.17776982,0.725466921,68.10979685,11.8589234,0.5169774,0.094023778,0.197065629,0.022653569,0.335086142,0.135013791,91.22195816,1.995512465,34.34048239,0.736683964,10
"(1.038e+04,1.044e+04]",10414.09467,post-IHT,94.63004032,0.118107138,93.44428265,0.809828632,48.91137068,0.816008009,31.1330105,0.518508089,130.6909864,7.822797059,127.6984192,1.041416021,73.10193589,0.720434643,58,-0.030636121,0.122006984,-1.100021189,0.147543393,13.11349036,0.769723875,15.89577345,2.301016732,15.72959163,2.263206366,37.30484945,0.69445312,93.85387004,1.895506617,0.34038638,0.053600448,0.220272696,0.028630284,0.663174266,0.022877604,97.68325458,1.919227981,35.90953723,0.968115885,14
"(1.044e+04,1.05e+04]",10475.83457,post-IHT,95.42410714,0.095877242,92.15172189,0.647907898,49.75160665,0.905623296,32.42167476,0.503911957,141.8896681,8.092562788,125.0258841,0.627325701,72.37885477,0.661970968,56,-0.181394089,0.08426474,-0.96974828,0.090161044,12.40140412,1.090733751,13.00859711,1.338115293,12.92881424,1.326332529,38.19809099,0.206500139,92.64059934,0.584611521,0.255699299,0.0276259,0.197873006,0.020705227,0.777152869,0.009122853,94.91548018,0.928909113,36.97416826,0.448274516,14
