bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(-87.26,-72.26]",-79.4800336,bl,98,0.1,98.8,0.7,44.9,0.3,31.5,0.2,66.8,3.1,22,3.865380764,NA,1.8,0,-2.1,0,6.5,0.3,10.7,0.4,10.8,0.4,39.3,0,93.3,0.1,0.394,0,0.319,0,0.772,0,94.2,0.6,39.3,0,713.7399902,NA,2
"(167.7,182.7]",175.5569303,2,99.4,0,99.3,0.8,51.1,0.8,40.8,0.7,121.3,18.8,15,5.212142467,NA,2.3,0,-2.5,0,7.5,0,21,0.2,39.3,0.2,42,0,342,0.2,-13,0,2,0,0,0,343.2,0,41.8,0.1,713.7399902,NA,1
"(287.7,302.7]",295.413716,4,99.4,0,101.6,0.9,55.7,1,45.2,0.6,80.8,9.5,16,5.596694708,0.022122145,2.3,0.1,-2.5,0,8.7,0.1,23.7,0.6,44.8,1.1,44.8,0,340.2,0.1,-14,0,2,0,0,0,341,0.3,44.4,0.1,713.7399902,0,1
"(497.7,512.7]",505.4004807,6,99.4,0,108.6,1,62.3,0.8,49.7,0.5,76,5.9,15,6.049279213,0.000539303,3.3,0.1,-3.4,0.3,7.9,0.1,29.7,2.8,57.3,5.3,46.8,0,342.5,0.1,-19,2,3,0,0,0,344.8,1.6,46.3,0.2,713.7399902,0,2
