bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(-115.4,-100.4]",-107.50252,bl,97.4,0,81.7,0.5,64.2,0.5,53.6,0.3,64.6,1.3,17,3.73925215,0.003415227,1,0,-1,0,15,0.1,14.4,0.1,14.2,0.1,39.5,0.1,91,0.7,0.293,0,0.213,0,0.729,0,92.9,1,39.3,0.1,715.2639771,0,3
"(109.6,124.6]",117.1396182,2,84.5,0,89.5,0.7,79.6,0.8,66.1,0.6,77,1.7,16,5.521011233,0.005311553,1.7,0,-1.6,0,18.9,0.4,33.1,0.8,32.6,0.9,41.5,0.1,49.3,0.7,1,0,0,0,0,0,50.7,0.4,41.3,0.2,715.2639771,0,4
"(304.6,319.6]",312.154605,4,84.5,0,85.8,0.5,86.8,0.6,70.3,0.5,80.7,1.7,18,6.1793046,0.006982215,2.2,0.1,-2,0.1,16.7,0.7,36.8,1.5,36.5,1.5,43.7,0.2,49.1,0.3,1,0,0,0,1,0,50.1,0.4,43.4,0.2,715.2639771,0,5
"(439.6,454.6]",447.3226883,6,84.4,0.1,87.2,0.8,94.1,0.8,75.6,0.5,86.1,1.6,21,6.515192509,0.015596223,2.5,0.1,-2.2,0.1,17.9,0.5,43.8,0.6,43.6,0.7,46,0.3,49.3,0.4,1,0,0,0,1,0,50.1,0.3,45.4,0.2,715.2639771,0,4
