bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(2023,2038]",2035.519126,bl,126.2,0,12.6,0.1,56.4,0.3,41.7,0.4,60.1,0.6,43,2.4,0,1.2,0.2,-1,0.1,8,1,9.2,1.7,9.1,1.7,33.1,0,97.3,0.1,0.381,NA,0.294,NA,0.771653543,0,98.4,0.7,32.6,0.2,731.8,0,2
"(2353,2368]",2361.22669,2,86.5,0,115.1,0.6,80.5,0.4,59.4,0.4,81,0.9,18,5.1,0,3.4,0,-3.2,0,18.5,0.3,63.9,0.6,57.5,0.5,37.9,0,46.8,0.4,7,0,2,0,0,0,48,0.1,37.7,0.1,731.8,0,5
"(2563,2578]",2570.725905,4,81.6,0.1,114.2,0.7,86.2,0.7,65.1,0.4,94.8,0.6,23,5.5,0,3.3,0.1,-3,0,25.7,1,83.4,2.9,75.4,2.6,44.6,0,47.2,0.5,10,0,3,0,0,0,47.9,0.4,39.6,0.1,731.8,0,6
"(2653,2668]",2660.622479,6,82,0.1,122.1,0.7,94,0.8,72.3,0.5,112.3,11.3,25,6,0.1,3.3,0,-3,0.1,29.5,0.4,96.4,1.6,87.6,1.4,44.5,0.1,43,0.3,11,0,4,0,0,0,46.6,1.3,42.8,0.6,731.8,0,5
