bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(2224,2239]",2231.68254,bl,97.5,0,99.7,0.8,45.4,0.5,33.9,0.4,65.3,1.4,17,3.835821009,0.035599947,1.9,NA,-2.6,NA,5,NA,11.3,0.4,11.2,NA,40,NA,86.6,NA,0.394,0,0.319,0,0.772,NA,89.9,NA,39.1,NA,713.7399902,0,1
"(2449,2464]",2457.053261,2,83.9,0.1,109.5,1.1,58.6,0.5,45.5,0.3,89.6,1,22,5.660118739,0.013147871,2.9,0.1,-2.8,0,12,0.2,37.7,0.6,34.6,0.6,41.9,0,48.6,0.1,4,0,2,0,0,0,49.3,0.4,41.7,0.1,713.7399902,0,3
"(2599,2614]",2606.524668,4,83.4,0.1,113.5,0.7,63.7,0.7,47,0.4,94.7,0.7,21,6.111067414,0.001042582,3.1,0.1,-3,0.1,15.9,0.2,52.7,0.9,48.5,0.9,43.5,0.1,49.3,0.1,6,0,2,0,0,0,50,0.2,43.3,0.1,713.7399902,0,4
"(2764,2779]",2771.581633,6,82.5,0,116.7,1.1,63.3,0.6,53,0.5,95.8,0.7,24,6.492048073,0.007431213,3.1,0.1,-2.9,0.1,18.9,0.6,60.9,1.9,56.2,1.8,45.6,0.1,49.2,0.1,6,0,3,0,0,0,49.6,0.1,45.5,0,713.7399902,0,5
