bins,Time_mean,stage,SpO2_mean,SpO2_sem,MAP_mean,MAP_sem,MCAv_mean,MCAv_sem,PCAv_mean,PCAv_sem,HR_mean,HR_sem,nBeats,FeCO2_mean,FeCO2_sem,Volume_mean,Volume_sem,VT_mean,VT_sem,Fb_mean,Fb_sem,VI_mean,VI_sem,VE_mean,VE_sem,PETCO2_mean,PETCO2_sem,PETO2_mean,PETO2_sem,VO2_mean,VO2_sem,VCO2_mean,VCO2_sem,RER_mean,RER_sem,PO2_mean,PO2_sem,PCO2_mean,PCO2_sem,Barometric.Pressure_mean,Barometric.Pressure_sem,nBreaths
"(-116.8,-101.8]",-109.2038497,bl,98.4,0,104.6,0.8,57,0.7,38.4,0.6,88.2,6,17,4.022665024,NA,1.3,0.1,-1.6,0.1,6.8,0.9,12,1,11.8,1,42.5,0,79.9,2.6,0.338,0,0.268,0,0.793,0,84.7,2,41.9,0.1,722.1220093,NA,1
"(183.2,198.2]",190.719317,2,83.2,0.1,102.8,1,71.2,0.7,41.8,0.4,19,4.5,17,6.178097963,0.021576166,2.1,0.2,-2.2,0,9.4,0.4,23.2,0.5,21.3,0.5,44.6,0.2,46.4,0.2,2,0,1,0,0,0,48.3,0.8,44.2,0.1,722.1220093,0,1
"(273.2,288.2]",280.8684988,4,83.5,0.1,107.2,0.7,74.5,0.8,44.1,0.6,28.2,5.6,19,6.298809528,0.001431453,2.3,0.2,-2.4,0.2,8.8,0.1,23.6,1.3,21.8,1.2,46.7,0.1,46.6,0.2,2,0,1,0,0,0,47.1,0.3,46.4,0.1,722.1220093,0,2
"(483.2,498.2]",490.7440075,6,83.5,0,108.7,0.7,81.4,0.8,51.3,0.5,13,1.1,21,6.652207057,0.0059861,2.3,0,-2.4,0.1,10.2,0.9,27.2,1.2,25.2,1.1,49,0,45.7,0,3,0,1,0,0,0,46.5,0.5,48.8,0.1,722.1220093,0,3
